model,mode,tags,classification,tool_selection,task_completion,input
MiniMaxAI/MiniMax-M2.7,mcp,happy_path|ip_resolution,C,1.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
MiniMaxAI/MiniMax-M2.7,mcp,provider_machine_id|lookup,C,1.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
MiniMaxAI/MiniMax-M2.7,mcp,ip_resolution|lookup,C,1.00,1.00,Which NetBox device has primary IP 10.49.5.61?
MiniMaxAI/MiniMax-M2.7,mcp,oob|bmc|pydantic_return,C,1.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
MiniMaxAI/MiniMax-M2.7,mcp,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
MiniMaxAI/MiniMax-M2.7,mcp,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
MiniMaxAI/MiniMax-M2.7,mcp,large_result|cluster|pagination,C,1.00,1.00,List all devices in the reflection cluster and tell me how many there are.
MiniMaxAI/MiniMax-M2.7,mcp,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
MiniMaxAI/MiniMax-M2.7,cli,happy_path,P,1.00,0.50,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
MiniMaxAI/MiniMax-M2.7,cli,filtering|precision,P,1.00,0.40,How many active devices are in the research-common-h100 cluster?
MiniMaxAI/MiniMax-M2.7,cli,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
MiniMaxAI/MiniMax-M2.7,cli,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
MiniMaxAI/MiniMax-M2.7,cli,vendor_lookup,C,1.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
MiniMaxAI/MiniMax-M2.7,cli,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
MiniMaxAI/MiniMax-M2.7,cli,filtering|negative_filter,C,1.00,1.00,List all devices in the research-common-h100 cluster that are NOT active
MiniMaxAI/MiniMax-M2.7,cli,happy_path|ip_resolution,C,1.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
MiniMaxAI/MiniMax-M2.7,cli,cli_specific|filtering,C,1.00,0.70,Use netbox-cli to list all active devices in the research-common-h100 cluster at ORI-TX
MiniMaxAI/MiniMax-M2.7,cli,provider_machine_id|lookup,C,1.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
MiniMaxAI/MiniMax-M2.7,cli,ip_resolution|lookup,C,1.00,1.00,Which NetBox device has primary IP 10.49.5.61?
MiniMaxAI/MiniMax-M2.7,cli,oob|bmc|pydantic_return,C,1.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
MiniMaxAI/MiniMax-M2.7,cli,batch|multi_id,P,1.00,0.20,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
MiniMaxAI/MiniMax-M2.7,cli,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
MiniMaxAI/MiniMax-M2.7,cli,large_result|cluster|pagination,C,1.00,1.00,List all devices in the reflection cluster and tell me how many there are.
MiniMaxAI/MiniMax-M2.7,cli,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
moonshotai/Kimi-K2.6,mcp,happy_path,C,1.00,1.00,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
moonshotai/Kimi-K2.6,mcp,filtering|precision,P,1.00,0.40,How many active devices are in the research-common-h100 cluster?
moonshotai/Kimi-K2.6,mcp,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
moonshotai/Kimi-K2.6,mcp,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
moonshotai/Kimi-K2.6,mcp,tool_selection,P,0.00,1.00,What's the BMC IP address for research-common-h100-001 at ORI-TX?
moonshotai/Kimi-K2.6,mcp,vendor_lookup,C,1.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
moonshotai/Kimi-K2.6,mcp,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
moonshotai/Kimi-K2.6,mcp,filtering|negative_filter,C,1.00,1.00,List all devices in the research-common-h100 cluster that are NOT active
moonshotai/Kimi-K2.6,mcp,happy_path|ip_resolution,C,1.00,0.90,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
moonshotai/Kimi-K2.6,mcp,provider_machine_id|lookup,C,1.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
moonshotai/Kimi-K2.6,mcp,ip_resolution|lookup,C,1.00,1.00,Which NetBox device has primary IP 10.49.5.61?
moonshotai/Kimi-K2.6,mcp,oob|bmc|pydantic_return,C,1.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
moonshotai/Kimi-K2.6,mcp,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
moonshotai/Kimi-K2.6,mcp,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
moonshotai/Kimi-K2.6,mcp,large_result|cluster|pagination,C,1.00,1.00,List all devices in the reflection cluster and tell me how many there are.
moonshotai/Kimi-K2.6,mcp,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
moonshotai/Kimi-K2.6,cli,happy_path,C,1.00,0.85,Look up research-common-h100-001 at ORI-TX in NetBox. What's its status and vendor name?
moonshotai/Kimi-K2.6,cli,filtering|precision,P,1.00,0.50,How many active devices are in the research-common-h100 cluster?
moonshotai/Kimi-K2.6,cli,error_handling,C,1.00,1.00,Look up device xyz-nonexistent-999 at ORI-TX in NetBox
moonshotai/Kimi-K2.6,cli,multi_step,C,1.00,1.00,"Find research-common-h100-001 at ORI-TX in NetBox, then tell me its cluster name and primary IP address"
moonshotai/Kimi-K2.6,cli,vendor_lookup,C,1.00,1.00,The vendor calls it ori-gpu001 at ORI-TX. What is the Together hostname for this node?
moonshotai/Kimi-K2.6,cli,ambiguity,C,1.00,1.00,Look up ori-gpu001 in NetBox
moonshotai/Kimi-K2.6,cli,filtering|negative_filter,C,1.00,0.90,List all devices in the research-common-h100 cluster that are NOT active
moonshotai/Kimi-K2.6,cli,happy_path|ip_resolution,C,1.00,1.00,What IP addresses are assigned to research-common-h100-001 at ORI-TX? Include both in-band and out-of-band IPs.
moonshotai/Kimi-K2.6,cli,cli_specific|filtering,P,1.00,0.60,Use netbox-cli to list all active devices in the research-common-h100 cluster at ORI-TX
moonshotai/Kimi-K2.6,cli,provider_machine_id|lookup,C,1.00,1.00,Find the NetBox device whose provider machine ID is gpu061c.
moonshotai/Kimi-K2.6,cli,ip_resolution|lookup,C,1.00,1.00,Which NetBox device has primary IP 10.49.5.61?
moonshotai/Kimi-K2.6,cli,oob|bmc|pydantic_return,C,1.00,1.00,Give me the out-of-band (BMC) summary for device a6177514-026.
moonshotai/Kimi-K2.6,cli,batch|multi_id,C,1.00,1.00,"Fetch NetBox devices with IDs 4723, 4724, and 4725 in a single call."
moonshotai/Kimi-K2.6,cli,lookup|by_id,C,1.00,1.00,Get the NetBox device with ID 4723.
moonshotai/Kimi-K2.6,cli,large_result|cluster|pagination,C,1.00,1.00,List all devices in the reflection cluster and tell me how many there are.
moonshotai/Kimi-K2.6,cli,ambiguity,C,1.00,1.00,Look up device gpu103 in NetBox.
